ID,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
11606,私立信賢種籽親子實小,[233]新北市烏來區信賢里娃娃谷41號,303431,2748050.01,[01]新北市,烏來區,山,95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
14684,市立烏來國(中)小,[233]新北市烏來區啦卡路5號,306377,2750280.01,[01]新北市,烏來區,山,99,87,2,81,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
14685,市立福山國小,[233]新北市烏來區福山里李茂岸56號,300377,2742150.01,[01]新北市,烏來區,山,25,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34730,市立介壽國小,[336]桃園市復興區澤仁里中正路33號,285477.82,2745408.6,[03]桃園市,復興區,山,77,61,1,57,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"103Y"
34731,市立三民國小,[336]桃園市復興區三民里十一鄰57號,283453,2747290.01,[03]桃園市,復興區,山,106,63,0,61,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"103Y"
34732,市立義盛國小,[336]桃園市復興區義盛里一鄰11號,288362.92,2742683.65,[03]桃園市,復興區,山,35,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34733,市立霞雲國小,[336]桃園市復興區霞雲里六鄰14號,288676,2745520.01,[03]桃園市,復興區,山,37,37,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"103Y"
34734,市立奎輝國小,[336]桃園市復興區奎輝里三鄰25號,283836.12,2743355.69,[03]桃園市,復興區,山,34,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34735,市立光華國小,[336]桃園市復興區華陵里四鄰12號,290457,2727640.01,[03]桃園市,復興區,山,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34736,市立高義國小,[336]桃園市復興區高義里三鄰28號,286485,2733980.01,[03]桃園市,復興區,山,56,54,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34737,市立長興國小,[336]桃園市復興區長興里十六鄰頭角43號,281093.2,2743674.26,[03]桃園市,復興區,山,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34738,市立三光國小,[336]桃園市復興區三光里六鄰7號,287186,2729690.01,[03]桃園市,復興區,山,46,46,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
34740,市立羅浮國小,[336]桃園市復興區羅浮里三鄰16號,286879.3,2743366.5,[03]桃園市,復興區,山,57,53,5,45,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,"103Y"
34741,市立巴崚國小,[336]桃園市復興區華陵里九鄰75號,290167,2730920.01,[03]桃園市,復興區,山,54,51,1,49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"103Y"
64729,市立和平區和平國小,[424]臺中市和平區南勢里東關路三段54號,239387.36,2673963.59,[06]臺中市,和平區,山,43,19,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
64731,市立白冷國小,[424]臺中市和平區天輪里天輪巷42號,242898,2675310.01,[06]臺中市,和平區,山,46,31,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
64732,市立達觀國小,[424]臺中市和平區達觀里育英巷6號,241975,2691350.01,[06]臺中市,和平區,山,65,58,0,55,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
64733,市立中坑國小,[424]臺中市和平區中坑里中坑巷41號,237809,2681230.01,[06]臺中市,和平區,山,46,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
64734,市立平等國小,[424]臺中市和平區中興路三段環山3巷35號,279741,2690230.01,[06]臺中市,和平區,山,41,27,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
64735,市立博愛國小,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,247922.62,2674650.31,[06]臺中市,和平區,山,63,43,1,39,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,"103Y"
64736,市立自由國小,[424]臺中市和平區自由里東崎路二段49號,240757.54,2687297.11,[06]臺中市,和平區,山,45,36,1,32,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"103Y"
64737,市立梨山國(中)小,[424]臺中市和平區梨山里福壽路10號,276368.02,2683391.28,[06]臺中市,和平區,山,140,59,22,26,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,"103Y"
124731,市立民生國小,[849]高雄市那瑪夏區達卡努瓦里大光巷159號,221448,2574880.009,[12]高雄市,那瑪夏區,山,116,114,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,28,0,"103Y"
124732,市立茂林國小,[851]高雄市茂林區茂林里4之3號,215561,2531690.008,[12]高雄市,茂林區,山,60,60,2,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,"103Y"
124733,市立多納國小,[851]高雄市茂林區多納里1-2號,220936,2534420.008,[12]高雄市,茂林區,山,29,26,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,"103Y"
124734,市立桃源國小,[848]高雄市桃源區桃源里北進巷五十號,225982,2562020.009,[12]高雄市,桃源區,山,87,87,1,3,0,80,0,0,0,0,0,0,0,0,0,0,3,0,0,"103Y"
124735,市立建山國小,[848]高雄市桃源區建山里96號,217479,2555960.009,[12]高雄市,桃源區,山,37,36,0,1,1,30,0,2,2,0,0,0,0,0,0,0,0,0,0,"103Y"
124736,市立興中國小,[848]高雄市桃源區高中里興中巷44號,221224.342,2558547.305,[12]高雄市,桃源區,山,46,46,1,0,2,30,0,0,3,0,0,0,0,0,0,0,6,0,4,"103Y"
124737,市立寶山國小,[848]高雄市桃源區寶山里98號,220185,2548260.009,[12]高雄市,桃源區,山,10,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,"103Y"
124738,市立樟山國小,[848]高雄市桃源區拉芙蘭里南橫公路45號,231516,2572310.009,[12]高雄市,桃源區,山,44,43,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
124755,市立那瑪夏區民權國小,[849]高雄市那瑪夏區瑪雅里平和巷220號,218767,2569740.009,[12]高雄市,那瑪夏區,山,53,48,0,1,5,30,0,0,0,0,0,0,0,0,0,0,5,7,0,"103Y"
24668,縣立四季國小,[267]宜蘭縣大同鄉四季村和勳巷1號,293208.3,2709202.88,[02]宜蘭縣,大同鄉,山,130,130,1,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24669,縣立南山國小,[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號,288566.91,2703516.02,[02]宜蘭縣,大同鄉,山,67,66,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24670,縣立大同國小,[267]宜蘭縣大同鄉崙埤村10之9號,311646.3,2730208.4,[02]宜蘭縣,大同鄉,山,94,91,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24671,縣立寒溪國小,[267]宜蘭縣大同鄉寒溪村寒溪巷16號,319601.97,2722677.06,[02]宜蘭縣,大同鄉,山,50,49,1,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"103Y"
24672,縣立南澳國小,[272]宜蘭縣南澳鄉南澳村中正路15號,331157.94,2707011.88,[02]宜蘭縣,南澳鄉,山,84,84,1,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"103Y"
24673,縣立碧候國小,[272]宜蘭縣南澳鄉碧候村自覺巷38號,329535.3,2707756,[02]宜蘭縣,南澳鄉,山,93,93,1,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"103Y"
24674,縣立武塔國小,[272]宜蘭縣南澳鄉武塔村新溪路1號,328856.45,2704948.75,[02]宜蘭縣,南澳鄉,山,29,29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24675,縣立澳花國小,[272]宜蘭縣南澳鄉澳花村中央路19號,325053.65,2691693.82,[02]宜蘭縣,南澳鄉,山,88,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24676,縣立東澳國小,[272]宜蘭縣南澳鄉東岳村蘇花路三段209號,334404.96,2713040.11,[02]宜蘭縣,南澳鄉,山,52,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24677,縣立金岳國小,[272]宜蘭縣南澳鄉金岳村 (路) 二號,328765.9999,2707430.01,[02]宜蘭縣,南澳鄉,山,56,56,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
24678,縣立金洋國小,[272]宜蘭縣南澳鄉金洋村11號,325980.9999,2702410.01,[02]宜蘭縣,南澳鄉,山,47,46,0,43,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"103Y"
44666,縣立尖石國小,[313]新竹縣尖石鄉嘉樂村六鄰7號,272932,2735760.01,[04]新竹縣,尖石鄉,山,34,34,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"103Y"
44667,縣立嘉興國小,[313]新竹縣尖石鄉嘉樂村三鄰177號,271304,2733130.01,[04]新竹縣,尖石鄉,山,103,93,0,91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
44668,縣立新樂國小,[313]新竹縣尖石鄉新樂村一鄰10號,275387,2736040.01,[04]新竹縣,尖石鄉,山,110,106,0,104,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"103Y"
44669,縣立梅花國小,[313]新竹縣尖石鄉梅花村1鄰25號,271111,2730090.01,[04]新竹縣,尖石鄉,山,84,84,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
44670,縣立錦屏國小,[313]新竹縣尖石鄉錦屏村十鄰116號,268059,2558910.009,[04]新竹縣,尖石鄉,山,53,53,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"103Y"
44671,縣立玉峰國小,[313]新竹縣尖石鄉玉峰村五鄰59號,280514,2728160.01,[04]新竹縣,尖石鄉,山,31,28,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
44672,縣立石磊國小,[313]新竹縣尖石鄉玉峰村十鄰49號,283028,2727660.01,[04]新竹縣,尖石鄉,山,32,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
44673,縣立秀巒國小,[313]新竹縣尖石鄉秀巒村四鄰19號,279013,2723560.01,[04]新竹縣,尖石鄉,山,77,77,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"103Y"
