ID,,,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,,,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
14684,14684,,市立烏來國(中)小,[233]新北市烏來區啦卡路5號,306005.822,2750721.396,[01]新北市,烏來區,山,67,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
14685,14685,,市立福山國小,[233]新北市烏來區福山里李茂岸56號,300761.112,2741206.277,[01]新北市,烏來區,山,15,12,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24668,24668,,縣立四季國小,[267]宜蘭縣大同鄉四季村和勳巷1號,293208.3,2709202.88,[02]宜蘭縣,大同鄉,山,78,78,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24669,24669,,縣立南山國小,[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號,288566.91,2703516.02,[02]宜蘭縣,大同鄉,山,74,74,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24670,24670,,縣立大同國小,[267]宜蘭縣大同鄉崙埤村10之9號,311622.21,2730300.35,[02]宜蘭縣,大同鄉,山,86,82,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24671,24671,,縣立寒溪國小,[267]宜蘭縣大同鄉寒溪村寒溪巷16號,319601.97,2722677.06,[02]宜蘭縣,大同鄉,山,66,66,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24672,24672,,縣立南澳國小,[272]宜蘭縣南澳鄉南澳村中正路15號,331157.94,2707011.88,[02]宜蘭縣,南澳鄉,山,81,79,1,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24673,24673,,縣立碧候國小,[272]宜蘭縣南澳鄉碧候村自覺巷38號,329541.851,2707757.695,[02]宜蘭縣,南澳鄉,山,88,84,1,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24674,24674,,縣立武塔國小,[272]宜蘭縣南澳鄉武塔村新溪路1號,328936.23,2704594.18,[02]宜蘭縣,南澳鄉,山,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24675,24675,,縣立澳花國小,[272]宜蘭縣南澳鄉澳花村中央路19號,325053.65,2691693.82,[02]宜蘭縣,南澳鄉,山,87,87,5,76,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,107Y
24676,24676,,縣立東澳國小,[272]宜蘭縣南澳鄉東岳村蘇花路三段209號,334404.96,2713040.11,[02]宜蘭縣,南澳鄉,山,58,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24677,24677,,縣立金岳國小,[272]宜蘭縣南澳鄉金岳村 (路) 二號,328766,2707430.01,[02]宜蘭縣,南澳鄉,山,46,46,0,44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
24678,24678,,縣立金洋國小,[272]宜蘭縣南澳鄉金洋村11號,325986.44,2702401.02,[02]宜蘭縣,南澳鄉,山,39,39,0,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,107Y
34730,34730,,市立介壽國小,[336]桃園市復興區澤仁里中正路33號,285477.82,2745408.6,[03]桃園市,復興區,山,78,59,0,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
