ID,NAME,ADDR,X,Y,,CO_NAME,,TO_NAME,,MF,STU_CNT,AB_STU_CNT,,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,TW97經緯度,縣市名稱,縣市統計,鄉鎮市區名稱,鄉鎮,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族學生比例,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
14684,市立烏來國(中)小,[233]新北市烏來區啦卡路5號,306005.822,2750721.396,"24.863038,121.554224",[01]新北市,2,烏來區,2,山,76,69,90.79%,1,63,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,110Y
14685,市立德拉楠民族實驗小學,[233]新北市烏來區福山里李茂岸56號,300761.112,2741206.277,"24.777316,121.501979",[01]新北市,2,烏來區,2,山,20,16,80.00%,1,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
104727,縣立達邦國小,[605]嘉義縣阿里山鄉達邦村一鄰1號,224394.46,2594491.49,"23.453204,120.749376",[10]嘉義縣,7,阿里山鄉,7,山,60,57,95.00%,1,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,110Y
104729,縣立十字國小,[605]嘉義縣阿里山鄉十字村16號,224876.37,2598840.66,"23.492485,120.75402",[10]嘉義縣,7,阿里山鄉,7,山,11,4,36.36%,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,110Y
104730,縣立來吉國小,[605]嘉義縣阿里山鄉來吉村四鄰91號,223452.58,2602965.85,"23.529713,120.740007",[10]嘉義縣,7,阿里山鄉,7,山,11,10,90.91%,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,110Y
104732,縣立山美國小,[605]嘉義縣阿里山鄉山美村61號,216162.25,2586748.97,"23.383138,120.668975",[10]嘉義縣,7,阿里山鄉,7,山,25,23,92.00%,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,110Y
104733,縣立新美國小,[605]嘉義縣阿里山鄉新美村四鄰78號,217620.16,2581717.57,"23.337733,120.683345",[10]嘉義縣,7,阿里山鄉,7,山,26,22,84.62%,1,0,1,1,0,19,0,0,0,0,0,0,0,0,0,0,0,110Y
104734,縣立阿里山國(中)小,[605]嘉義縣阿里山鄉樂野村一鄰31號,219496.18,2596198.28,"23.468532,120.701398",[10]嘉義縣,7,阿里山鄉,7,山,73,48,65.75%,0,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,110Y
104737,縣立茶山國小,[605]嘉義縣阿里山鄉茶山村三鄰74號,215913.57,2577581.19,"23.300346,120.666749",[10]嘉義縣,7,阿里山鄉,7,山,18,17,94.44%,1,0,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,110Y
64729,市立和平區和平國小,[424]臺中市和平區南勢里東關路三段54號,239387.366,2673963.595,"24.170987,120.895552",[06]臺中市,8,和平區,8,山,45,20,44.44%,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
64731,市立白冷國小,[424]臺中市和平區天輪里東關路二路天輪巷42號,242919.227,2675346.768,"24.183496,120.930305",[06]臺中市,8,和平區,8,山,15,5,33.33%,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
64732,市立博屋瑪國小,[424]臺中市和平區達觀里育英巷6號,241960.388,2691340.593,"24.327904,120.920778",[06]臺中市,8,和平區,8,山,57,52,91.23%,2,45,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,110Y
64733,市立中坑國小,[424]臺中市和平區中坑里中坑巷41號,237809,2681230.01,"24.236586,120.879956",[06]臺中市,8,和平區,8,山,31,2,6.45%,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
64734,市立平等國小,[424]臺中市和平區中興路三段環山3巷35號,279794.994,2690192.064,"24.31727,121.293573",[06]臺中市,8,和平區,8,山,39,27,69.23%,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
64735,市立博愛國小,[424]臺中市和平區博愛里東關路一段松鶴三巷10號,247905.232,2674631.546,"24.177052,120.979383",[06]臺中市,8,和平區,8,山,43,28,65.12%,0,21,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,110Y
64736,市立自由國小,[424]臺中市和平區自由里東崎路二段49號,240757.544,2687297.112,"24.291388,120.908951",[06]臺中市,8,和平區,8,山,28,22,78.57%,0,17,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,110Y
64737,市立梨山國(中)小,[424]臺中市和平區梨山里福壽路10號,276368.02,2683391.28,"24.255927,121.259682",[06]臺中市,8,和平區,8,山,97,33,34.02%,13,10,2,6,0,0,0,0,0,1,0,0,0,1,0,0,0,110Y
124731,市立民生國小,[849]高雄市那瑪夏區達卡努瓦里大光巷159號,221494.672,2574910.94,"23.27634,120.721363",[12]高雄市,9,那瑪夏區,2,山,104,104,100.00%,0,1,1,83,0,5,0,0,0,0,0,0,0,0,0,14,0,110Y
124732,市立茂林國小,[851]高雄市茂林區茂林里4之3號,215561,2531690.008,"22.88592,120.664333",[12]高雄市,9,茂林區,2,山,31,27,87.10%,2,0,6,3,0,0,15,0,0,0,0,1,0,0,0,0,0,110Y
124733,市立多納國小,[851]高雄市茂林區多納里1-2號,220914.569,2534391.168,"22.910415,120.716461",[12]高雄市,9,茂林區,2,山,37,36,97.30%,0,0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,110Y
124734,市立桃源國小,[848]高雄市桃源區桃源里北進巷五十號,226015.515,2562072.166,"23.160472,120.765756",[12]高雄市,9,桃源區,5,山,68,66,97.06%,0,1,3,59,0,0,1,0,0,0,0,0,0,0,2,0,0,110Y
124735,市立建山國小,[848]高雄市桃源區建山里96號,217479,2555960.009,"23.105131,120.682515",[12]高雄市,9,桃源區,5,山,41,39,95.12%,1,1,4,31,0,0,0,0,0,0,0,0,0,0,2,0,0,110Y
124736,市立興中國小,[848]高雄市桃源區高中里興中巷44號,221224.342,2558547.305,"23.128565,120.719029",[12]高雄市,9,桃源區,5,山,47,45,95.74%,0,0,0,37,0,1,0,0,0,0,0,0,0,0,7,0,0,110Y
124737,市立寶山國小,[848]高雄市桃源區寶山里98號,220185,2548260.009,"23.035647,120.709081",[12]高雄市,9,桃源區,5,山,15,15,100.00%,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,110Y
124738,市立樟山國小,[848]高雄市桃源區拉芙蘭里南橫公路五段440號,231517.43,2572284.63,"23.252766,120.819366",[12]高雄市,9,桃源區,5,山,30,30,100.00%,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
124755,市立那瑪夏區民權國小,[849]高雄市那瑪夏區瑪雅里平和巷220號,219558.197,2571696.866,"23.247281,120.702499",[12]高雄市,9,那瑪夏區,2,山,130,71,54.62%,1,1,4,42,0,2,0,0,0,0,0,0,0,2,4,15,0,110Y
24668,縣立四季國小,[267]宜蘭縣大同鄉四季村和勳巷1號,293208.3,2709202.88,"24.488603,121.426309",[02]宜蘭縣,11,大同鄉,4,山,93,93,100.00%,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
24669,縣立南山國小,[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號,288566.91,2703516.02,"24.43738,121.380362",[02]宜蘭縣,11,大同鄉,4,山,56,56,100.00%,0,53,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,110Y
