學年度,分類,縣市,學校名稱,連結,學校電話,學校信箱
109,原住民重點學校-國中,宜蘭,縣立大同國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立平和國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立吉安國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立玉東國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立化仁國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立富源國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立豐濱國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立富北國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立秀林國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立新城國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立玉里國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立鳳林國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立美崙國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立自強國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立萬榮國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立瑞穗國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立光復國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立壽豐國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立三民國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,花蓮,縣立宜昌國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,南投,縣立民和國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,南投,縣立信義國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,南投,縣立北梅國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,南投,縣立同富國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,南投,縣立仁愛國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立潮州國民中學,https://www.cjjh.ptc.edu.tw/nss/p/index,08-7882401,無
109,原住民重點學校-國中,屏東,縣立中正國民中學,https://www.ccjh.ptc.edu.tw/nss/p/index,08-7226387,無
109,原住民重點學校-國中,屏東,縣立明正國民中學,https://www.mcjh.ptc.edu.tw/nss/p/index,08-7363078,無
109,原住民重點學校-國中,屏東,縣立獅子國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立瑪家國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立高泰國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立滿州國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立牡丹國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,屏東,縣立泰武國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,苗栗,縣立南庄國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,苗栗,縣立泰安國中小,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,桃園,市立大園國民中學,http://w8.dyjh.tyc.edu.tw/,(03)3862029,未提供
109,原住民重點學校-國中,桃園,市立南崁國中,https://www.nkjh.tyc.edu.tw/,03-3525590,未提供
109,原住民重點學校-國中,桃園,市立龜山國民中學,https://www.gsjh.tyc.edu.tw/,03 320 5681,未提供
109,原住民重點學校-國中,桃園,市立大成國民中學,https://www.tcjhs.tyc.edu.tw/,03-3625633,未提供
109,原住民重點學校-國中,桃園,市立八德國民中學,http://163.30.93.13/ptjhhome/,03 368 5322,未提供
109,原住民重點學校-國中,桃園,市立仁和國民中學,https://www.jhjhs.tyc.edu.tw/,03-3906626,未提供
109,原住民重點學校-國中,桃園,市立大溪國民中學,http://ms2.dsjh.tyc.edu.tw/dsjh/,03-3882024,未提供
109,原住民重點學校-國中,桃園,市立自強國民中學,https://www.tcjh.tyc.edu.tw/nss/p/index,03-4553494,未提供
109,原住民重點學校-國中,高雄,市立寶來國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,高雄,市立桃源國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,高雄,市立巴楠花部落國中小,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,高雄,市立茂林國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,高雄,市立那瑪夏國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新北,市立烏來國中小,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新竹,縣立尖石國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新竹,縣立竹東國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新竹,縣立自強國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新竹,縣立五峰國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,新竹,縣立員東國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,嘉義,縣立阿里山國中小,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺中,市立梨山國中小,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺中,市立和平國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立泰源國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立寶桑國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立鹿野國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立大武國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立新港國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立都蘭國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立關山國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立賓茂國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立池上國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立桃源國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立初鹿國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立知本國中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-國中,臺東,縣立卑南國中,暫不提供,暫不提供,暫不提供
