學年度,分類,縣市,學校名稱,連結,學校電話,學校信箱
109,原住民重點學校-高中,宜蘭,宜蘭縣立南澳高中(含國中部),暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,花蓮,四維學校財團法人花蓮縣四維高級中學,http://www.swsh.hlc.edu.tw/home, 03 856 1369,無
109,原住民重點學校-高中,花蓮,花蓮縣私立海星高級中學,http://www.smhs.hlc.edu.tw/smhs/, 03 822 3116,無
109,原住民重點學校-高中,花蓮,國立玉里高級中學,http://www.ylsh.hlc.edu.tw/default_page.asp,03 888 6171,無
109,原住民重點學校-高中,花蓮,國立光復高級商工職業學校,http://www.kfcivs.hlc.edu.tw/,03 870 0245,無
109,原住民重點學校-高中,花蓮,花蓮縣立體育高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,南投,國立暨南國際大學附屬高級中學,https://www.pshs.ntct.edu.tw/home,04 9291 3483,無
109,原住民重點學校-高中,南投,南投縣私立三育高級中學,http://www.taa.ntct.edu.tw/home,04 9289 7212,無
109,原住民重點學校-高中,屏東,屏東縣立枋寮高級中學,https://www.flhs.ptc.edu.tw/nss/p/index,08-8782095,mis@gm.flhs.ptc.edu.tw
109,原住民重點學校-高中,屏東,屏榮學校財團法人屏東縣屏榮高級中學,https://www.prhs.ptc.edu.tw/, 08 722 3409,無
109,原住民重點學校-高中,屏東,國立屏東高級中學,https://www.pths.ptc.edu.tw/releaseRedirect.do?unitID=183&pageID=3126, 08 766 7053,無
109,原住民重點學校-高中,屏東,國立潮州高級中學,https://www.ccsh.ptc.edu.tw/, 08 788 2017,無
109,原住民重點學校-高中,屏東,國立屏北高級中學,https://www.ppsh.ptc.edu.tw/home,08 793 7493,無
109,原住民重點學校-高中,屏東,屏東縣立來義高中,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高中,桃園,桃園市立永豐高級中等學校,https://www.yfms.tyc.edu.tw/nss/p/index, 03 369 2679,未提供
109,原住民重點學校-高中,桃園,桃園市立羅浮高級中等學校,http://www.lfsh.tyc.edu.tw/home,03-382-5585,暫不提供
