學年度,分類,縣市,學校名稱,連結,學校電話,學校信箱
109,原住民重點學校-高職,高雄,中山學校財團法人高雄市中山高級工商職業學校,http://www.csic.khc.edu.tw/csic/index.asp,07 781 5311,無
109,原住民重點學校-高職,屏東,國立屏東高級工業職業學校,http://www.ptivs.ptc.edu.tw/Home,08 752 3781,無
109,原住民重點學校-高職,高雄,高雄市私立高英高級工商職業學校,http://www.kyicvs.khc.edu.tw/,07 783 2991,無
109,原住民重點學校-高職,南投,國立埔里高級工業職業學校,https://www.plvs.ntct.edu.tw/ischool/publish_page/0/,04 9298 2225,無
109,原住民重點學校-高職,屏東,國立內埔高級農工職業學校,https://www.npvs.ptc.edu.tw/ischool/publish_page/0/, 08 799 1103,無
109,原住民重點學校-高職,屏東,屏東縣私立民生高級家事商業職業學校,http://www.msvs.ptc.edu.tw/, 08 722 3029,無
109,原住民重點學校-高職,臺東,國立臺東專科學校附設高職部,https://www.ntc.edu.tw/, 08 922 6389,無
109,原住民重點學校-高職,臺東,國立臺東高級商業職業學校,http://www.tscvs.ttct.edu.tw/tscvs/, 08 935 0575,無
109,原住民重點學校-高職,花蓮,國立花蓮高級工業職業學校,https://www.hlis.hlc.edu.tw/bin/home.php, 03 822 6108,無
109,原住民重點學校-高職,臺東,臺東縣私立公東高級工業職業學校,http://www.ktus.ttct.edu.tw/bin/home.php, 08 922 2877,無
109,原住民重點學校-高職,花蓮,國立花蓮高級農業職業學校,https://www.hla.hlc.edu.tw/ischool/publish_page/0/, 03 831 2301,無
109,原住民重點學校-高職,臺東,國立關山高級工商職業學校,https://www.ksvs.ttct.edu.tw/,(089)811006 ,無
109,原住民重點學校-高職,花蓮,上騰學校財團法人花蓮縣上騰高級工商職業學校,無, 03 853 8565,無
109,原住民重點學校-高職,臺東,國立成功商業水產職業學校,http://www.ckvs.ttct.edu.tw/,089 - 850011,無
109,原住民重點學校-高職,南投,國立仁愛高級農業職業學校,https://www.ravs.ntct.edu.tw/home,(049)2802619,無
109,原住民重點學校-高職,桃園,私立永平工商,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高職,桃園,私立成功工商,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高職,新北,私立莊敬工家,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高職,新北,私立能仁家商,暫不提供,暫不提供,暫不提供
109,原住民重點學校-高職,新北,私立樹人家商,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高職,桃園,私立成功工商,暫不提供,暫不提供,暫不提供
108,原住民重點學校-高職,桃園,私立永平工商,暫不提供,暫不提供,暫不提供
107,原住民重點學校-高職,花蓮,上騰學校財團法人花蓮縣上騰高級工商職業學校,http://www.chvs.hlc.edu.tw/sundance/,03- 8538565 ,暫無資料提供
107,原住民重點學校-高職,宜蘭,國立羅東高級商業職業學校,http://www.ltcvs.ilc.edu.tw/code/Layout.aspx?board=LTCVS_HOME&ti=0,03-9512875　,暫無資料提供
107,原住民重點學校-高職,南投,國立埔里高級工業職業學校,http://www.plvs.ntct.edu.tw/ischool/publish_page/0/,049-2982225 ,暫無資料提供
107,原住民重點學校-高職,花蓮,國立花蓮高級農業職業學校,http://www.hla.hlc.edu.tw/ischool/publish_page/0/,03-8312300 ,暫無資料提供
107,原住民重點學校-高職,屏東,國立內埔高級農工職業學校,http://npvs.ezsale.tw/default1.asp,08-7991103 ,暫無資料提供
107,原住民重點學校-高職,臺東,國立臺東高級商業職業學校,http://www.tscvs.ttct.edu.tw/tscvs/,089-350575   ,暫無資料提供
107,原住民重點學校-高職,花蓮,國立花蓮高級工業職業學校,http://bcc.hlis.hlc.edu.tw/bin/home.php,03-8226108 ,暫無資料提供
107,原住民重點學校-高職,臺東,國立關山高級工商職業學校,http://www.ksvs.ttct.edu.tw/bin/home.php,089-811006  ,暫無資料提供
107,原住民重點學校-高職,高雄,高雄市私立高英高級工商職業學校,http://www.kyicvs.khc.edu.tw,07-7832991,暫無資料提供
107,原住民重點學校-高職,花蓮,國立光復高級商工職業學校,http://www.kfcivs.hlc.edu.tw/,03-8701899,暫無資料提供
107,原住民重點學校-高職,屏東,國立恆春高級工商職業學校,http://www.hcvs.ptc.edu.tw/bin/home.php,08-8892010 ,暫無資料提供
107,原住民重點學校-高職,臺東,國立臺東專科學校附設高職部,http://www.ntc.edu.tw/,089-226389　,暫無資料提供
107,原住民重點學校-高職,臺東,國立成功商業水產職業學校,http://www.ckvs.ttct.edu.tw/,089-850011,暫無資料提供
107,原住民重點學校-高職,高雄,高雄市私立高苑高級工業商業職業學校,http://www.kyvs.ks.edu.tw/ischool/publish_page/0/,07-6111101 ,暫無資料提供
107,原住民重點學校-高職,屏東,國立屏東高級工業職業學校,http://www.ptivs.ptc.edu.tw/Home,08-7523781 ,暫無資料提供
107,原住民重點學校-高職,高雄,中山學校財團法人高雄市中山高級工商職業學校,http://www.csic.khc.edu.tw/www/,07-7815311,暫無資料提供
107,原住民重點學校-高職,臺東,臺東縣私立公東高級工業職業學校,http://web1.ktus.ttct.edu.tw/bin/home.php,089-222877 ,暫無資料提供
107,原住民重點學校-高職,桃園,桃園市私立成功高級工商職業學校,http://web.ckvs.tyc.edu.tw/bin/home.php,03-3294187,暫無資料提供
107,原住民重點學校-高職,南投,國立仁愛高級農業職業學校,http://www.ravs.ntct.edu.tw/home,049-2802619 ,暫無資料提供
107,原住民重點學校-高職,屏東,屏東縣私立民生高級家事商業職業學校,http://www.msvs.ptc.edu.tw/default.asp,08-7223029,msvs14201@msvs.ptc.edu.tw
